s,ADC 0,ADC 1
-0.012,0.004603,0.004222
-0.0118,0.004419,0.004082
-0.0116,0.00426,0.004241
-0.0114,0.004355,0.004196
-0.0112,0.004508,0.004342
-0.011,0.004533,0.004203
-0.0108,0.004514,0.004152
-0.0106,0.004527,0.004145
-0.0104,0.004419,0.004107
-0.0102,0.00445,0.004158
-0.01,0.004279,0.003942
-0.0098,0.004412,0.004152
-0.0096,0.004323,0.00412
-0.0094,0.00447,0.004253
-0.0092,0.004336,0.00419
-0.009,0.004425,0.00419
-0.0088,0.004527,0.003904
-0.0086,0.004387,0.003993
-0.0084,0.004482,0.00412
-0.0082,0.004546,0.00412
-0.008,0.004616,0.004234
-0.0078,0.004457,0.004234
-0.0076,0.004317,0.004203
-0.0074,0.004406,0.004183
-0.0072,0.004571,0.003993
-0.007,0.004336,0.004272
-0.0068,0.004412,0.004133
-0.0066,0.00426,0.00412
-0.0064,0.004406,0.004114
-0.0062,0.004425,0.004196
-0.006,0.004355,0.004164
-0.0058,0.004304,0.004368
-0.0056,0.004419,0.004241
-0.0054,0.0044,0.004247
-0.0052,0.004495,0.004037
-0.005,0.004298,0.003827
-0.0048,0.004361,0.003923
-0.0046,0.004304,0.004279
-0.0044,0.004419,0.004203
-0.0042,0.004393,0.004177
-0.004,0.00445,0.004094
-0.0038,0.004514,0.004075
-0.0036,0.004381,0.004012
-0.0034,0.004508,0.00433
-0.0032,0.004361,0.004247
-0.003,0.004381,0.004114
-0.0028,0.004425,0.004266
-0.0026,0.004457,0.004158
-0.0024,0.004476,0.004069
-0.0022,0.004304,0.003923
-0.002,0.004698,0.004209
-0.0018,0.00452,0.004171
-0.0016,0.004311,0.004253
-0.0014,0.004431,0.004183
-0.0012,0.004539,0.003885
-0.001,0.00426,0.00426
-0.0008,0.004419,0.004088
-0.0006,0.004597,0.004304
-0.0004,0.004476,0.004171
-0.0002,0.004476,0.004005
-0.0,0.004781,0.002429
0.0002,0.003681,0.005601
0.0004,-0.607815,-0.363115
0.0006,-2.496363,-2.941106
0.0008,-2.497902,-3.000577
0.001,-2.497857,-2.592824
0.0012,-2.497845,-1.787141
0.0014,-2.497838,-0.112387
0.0016,-2.497622,0.582225
0.0018,-2.497851,0.654462
0.002,-2.4978,0.567093
0.0022,-2.497749,0.504265
0.0024,-2.497711,0.480264
0.0026,-2.497762,0.472368
0.0028,-2.497851,0.465953
0.003,-2.497743,0.457776
0.0032,-2.468541,0.448201
0.0034,-2.435061,0.438773
0.0036,-2.405923,0.42916
0.0038,-2.38046,0.419655
0.004,-2.358487,0.410557
0.0042,-2.235406,0.401363
0.0044,-2.066091,0.392024
0.0046,-1.894506,0.383123
0.0048,-1.722685,0.373834
0.005,-1.548888,0.36513
0.0052,-1.37764,0.35649
0.0054,-1.218363,0.347576
0.0056,-1.079292,0.339139
0.0058,-0.964019,0.330315
0.006,-0.871449,0.321751
0.0062,-0.798594,0.31346
0.0064,-0.7411,0.305227
0.0066,-0.697002,0.296955
0.0068,-0.66562,0.28883
0.007,-0.645084,0.281124
0.0072,-0.632032,0.273158
0.0074,-0.622711,0.265573
0.0076,-0.606906,0.257861
0.0078,-0.578594,0.250454
0.008,-0.544421,0.242831
0.0082,-0.503222,0.23557
0.0084,-0.455971,0.228424
0.0086,-0.400276,0.221367
0.0088,-0.33898,0.214297
0.009,-0.277182,0.207551
0.0092,-0.216935,0.200812
0.0094,-0.158348,0.194022
0.0096,-0.101535,0.187556
0.0098,-0.046031,0.181109
0.01,0.0085,0.174815
0.0102,0.061989,0.168514
0.0104,0.11446,0.162716
0.0106,0.165552,0.15686
0.0108,0.215664,0.150897
0.011,0.264988,0.145149
0.0112,0.313282,0.139548
0.0114,0.360959,0.13408
0.0116,0.407486,0.128524
0.0118,0.45325,0.123355
0.012,0.497882,0.1183
0.0122,0.541407,0.113144
0.0124,0.584068,0.108058
0.0126,0.625801,0.103277
0.0128,0.666332,0.098381
0.013,0.706164,0.094007
0.0132,0.74494,0.089372
0.0134,0.783424,0.084991
0.0136,0.826988,0.080522
0.0138,0.883509,0.07644
0.014,0.952231,0.072225
0.0142,1.029371,0.068309
0.0144,1.123473,0.064398
0.0146,1.250966,0.060571
0.0148,1.410923,0.056928
0.015,1.587537,0.053291
0.0152,1.770891,0.049585
0.0154,1.952744,0.046247
0.0156,2.123769,0.042985
0.0158,2.268162,0.039845
0.016,2.386958,0.036443
0.0162,2.469018,0.033512
0.0164,2.492154,0.030505
0.0166,2.502111,0.027504
0.0168,2.502003,0.024776
0.017,2.502213,0.02217
0.0172,2.502003,0.019175
0.0174,2.5022,0.016715
0.0176,2.502193,0.014661
