"s"	"ADC 0"	"ADC 1"
-0.02820000	0.004228	0.004031
-0.02800000	0.004317	0.004044
-0.02780000	0.004508	0.003955
-0.02760000	0.004603	0.004120
-0.02740000	0.004323	0.004063
-0.02720000	0.004546	0.004183
-0.02700000	0.004266	0.004094
-0.02680000	0.004292	0.004139
-0.02660000	0.004368	0.004044
-0.02640000	0.004520	0.004126
-0.02620000	0.004482	0.004063
-0.02600000	0.004400	0.004292
-0.02580000	0.004400	0.004183
-0.02560000	0.004476	0.004215
-0.02540000	0.004450	0.004228
-0.02520000	0.004349	0.004044
-0.02500000	0.004508	0.004266
-0.02480000	0.004368	0.004025
-0.02460000	0.004508	0.004304
-0.02440000	0.004457	0.004247
-0.02420000	0.004482	0.004164
-0.02400000	0.004438	0.004031
-0.02380000	0.004565	0.004152
-0.02360000	0.004412	0.004234
-0.02340000	0.004349	0.004222
-0.02320000	0.004514	0.004088
-0.02300000	0.004444	0.004120
-0.02280000	0.004412	0.004215
-0.02260000	0.004476	0.003904
-0.02240000	0.004234	0.004037
-0.02220000	0.004495	0.004190
-0.02200000	0.004381	0.004120
-0.02180000	0.004533	0.004190
-0.02160000	0.004368	0.003935
-0.02140000	0.004349	0.004241
-0.02120000	0.004597	0.004260
-0.02100000	0.004578	0.004012
-0.02080000	0.004368	0.003986
-0.02060000	0.004584	0.003980
-0.02040000	0.004425	0.004050
-0.02020000	0.004419	0.004158
-0.02000000	0.004285	0.004203
-0.01980000	0.004470	0.004133
-0.01960000	0.004412	0.004120
-0.01940000	0.004330	0.004101
-0.01920000	0.004368	0.004171
-0.01900000	0.004520	0.004158
-0.01880000	0.004444	0.004285
-0.01860000	0.004463	0.004069
-0.01840000	0.004406	0.004171
-0.01820000	0.004323	0.003916
-0.01800000	0.004514	0.004158
-0.01780000	0.004565	0.004044
-0.01760000	0.004686	0.004247
-0.01740000	0.004419	0.004025
-0.01720000	0.004304	0.003980
-0.01700000	0.004272	0.004133
-0.01680000	0.004609	0.004253
-0.01660000	0.004495	0.003935
-0.01640000	0.004457	0.004139
-0.01620000	0.004393	0.004234
-0.01600000	0.004342	0.004266
-0.01580000	0.004425	0.004298
-0.01560000	0.004482	0.004247
-0.01540000	0.004355	0.004018
-0.01520000	0.004559	0.004196
-0.01500000	0.004323	0.004228
-0.01480000	0.004450	0.004094
