time,Node01.ax,Node01.ay,Node01.az,Node01.mx,Node01.my,Node01.mz,Node01.gx,Node01.gy,Node01.gz,Node02.ax,Node02.ay,Node02.az,Node02.mx,Node02.my,Node02.mz,Node02.gx,Node02.gy,Node02.gz
0.66,0.943312,-0.099545,0.18511,41.877739,-6.548243,15.858689,0.071137,-0.363798,0.190184,0.936629,-0.137628,0.138043,45.082939,1.594291,-2.37422,0.335904,0.354305,0.045586
0.67,0.941397,-0.09917,0.18511,41.877739,-6.548243,15.858689,0.349682,-0.224634,0.189968,0.936069,-0.13801,0.14036,45.082939,1.594291,-2.37422,0.273745,0.232567,-0.076464
0.68,0.941588,-0.099545,0.18511,42.2449,-6.463882,16.312578,0.558805,-0.015904,0.120436,0.936442,-0.13801,0.142483,45.232239,1.428446,-2.530312,0.272939,0.049949,-0.015584
0.69,0.941971,-0.098796,0.183601,42.2449,-6.463882,16.312578,0.28097,-0.293835,-0.018412,0.935696,-0.13801,0.144607,45.232239,1.428446,-2.530312,0.150679,-0.071693,-0.259974
0.7,0.942354,-0.098048,0.181904,42.024605,-6.295161,15.783042,0.42081,-0.293654,-0.01813,0.934391,-0.138773,0.14538,45.157589,1.511369,-2.452266,0.150497,-0.010406,-0.260327
0.71,0.942354,-0.097112,0.180583,42.024605,-6.295161,15.783042,0.490939,-0.154638,0.121157,0.932899,-0.137628,0.144994,45.157589,1.511369,-2.452266,0.150192,-0.132245,-0.199702
0.72,0.943695,-0.097674,0.180206,41.951172,-6.12644,16.161282,0.212955,-0.085482,0.121189,0.933831,-0.137246,0.145187,45.157589,2.008905,-2.452266,0.089405,-0.010275,-0.138947
0.73,0.945035,-0.098048,0.179451,41.951172,-6.12644,16.161282,0.0741,-0.224726,0.121097,0.935323,-0.137246,0.145766,45.157589,2.008905,-2.452266,0.089471,0.050718,-0.01683
0.74,0.945418,-0.099545,0.179451,41.877739,-6.548243,16.236929,-0.204454,-0.29367,-0.01862,0.939054,-0.138773,0.145573,45.232239,1.84306,-2.842496,0.089536,0.17259,0.166263
0.75,0.944461,-0.099732,0.17964,41.877739,-6.548243,16.236929,-0.483573,-0.224072,0.050607,0.939613,-0.137819,0.147311,45.232239,1.84306,-2.842496,0.028992,0.294462,0.166554
